basis,keep_ratio,mean,std
block_dct_8,0.05,0.0208663119841367,0.008492249731694372
block_dct_8,0.1,0.009919406669214368,0.005188427826927296
block_dct_8,0.15,0.005310077564790845,0.0033277233445870064
block_dct_8,0.2,0.002973047574632801,0.0021768335433750745
block_fft_8,0.05,0.027197601664811374,0.010223482690230658
block_fft_8,0.1,0.014989074310287833,0.0069577305689556695
block_fft_8,0.15,0.00921059881336987,0.005007250865854423
block_fft_8,0.2,0.005889888296369463,0.0037080325107016806
dct,0.05,0.025376474149525166,0.007110676367348119
dct,0.1,0.014955568760633468,0.0044379725496100095
dct,0.15,0.00972980421036482,0.002995304916587051
dct,0.2,0.006582279326394201,0.0020606951400771066
fft,0.05,0.030848570819944143,0.008122758543179849
fft,0.1,0.019327272661030293,0.005454182437069883
fft,0.15,0.013139002155512572,0.003921084635752372
fft,0.2,0.009240550324320793,0.0029244729961812946
tebd,0.05,0.023661717810789892,0.009416128569720274
tebd,0.1,0.013059500694706811,0.006264767842064581
tebd,0.15,0.007906046048506487,0.004313364089155119
tebd,0.2,0.005047540880899572,0.0031119904070316964
