basis,keep_ratio,mean,std
block_dct_8,0.05,26.113799712562695,3.624774827639563
block_dct_8,0.1,29.408267486841922,4.137008356173856
block_dct_8,0.15,31.86277287853919,4.507634945672907
block_dct_8,0.2,34.007107442323466,4.8029306935845435
block_fft_8,0.05,24.473455296205856,3.1806115943895352
block_fft_8,0.1,27.09888691757884,3.4750059306655423
block_fft_8,0.15,29.063035817798312,3.720835208459809
block_fft_8,0.2,30.785664798249833,3.960019066906252
dct,0.05,25.360332342507977,3.0436325867769827
dct,0.1,27.605718108404407,3.1292003251138585
dct,0.15,29.331892283428942,3.1781719873501197
dct,0.2,30.84661239837931,3.210166063524447
fft,0.05,24.49968192630874,2.9406797865901346
fft,0.1,26.53809150707204,3.0363149992663017
fft,0.15,28.068175847813073,3.09760697572969
fft,0.2,29.388728802893375,3.140630516224256
mera,0.05,25.088483759117235,3.349130635277093
mera,0.1,27.563365903839056,3.6919284925051574
mera,0.15,29.520258023350117,3.9650119772937726
mera,0.2,31.277797190972095,4.194175185713436
