basis,keep_ratio,mean,std
block_dct_8,0.05,17.19585076084046,1.9090981565443914
block_dct_8,0.1,20.699906774713728,2.527791187320875
block_dct_8,0.15,23.723369498608257,3.1050812071195955
block_dct_8,0.2,26.62861959968122,3.727185718291822
block_fft_8,0.05,15.968997800523105,1.6803219507169747
block_fft_8,0.1,18.742256507411373,2.151826076701955
block_fft_8,0.15,21.08764326732091,2.6548420395382526
block_fft_8,0.2,23.343528413483696,3.254975391770049
dct,0.05,16.13068743812232,1.2494509758016845
dct,0.1,18.44494869657143,1.3085204745097352
dct,0.15,20.32560731855238,1.3525615935587376
dct,0.2,22.031770660900882,1.383940092017235
fft,0.05,15.263047770706557,1.1784232474412315
fft,0.1,17.31506905880222,1.2545186780668045
fft,0.15,19.011382267497915,1.3245321683424092
fft,0.2,20.561865354049814,1.3924862981054622
real_rich,0.05,18.79105189162738,2.641104722918515
real_rich,0.1,23.676235629579573,3.286994574209843
real_rich,0.15,28.048017643104114,3.936663814923003
real_rich,0.2,32.37201408593255,4.731778436107215
